geographicAreaM49Reporter,reporter_name
"10",Antarctica
"100",Bulgaria
"104",Myanmar
"108",Burundi
"112",Belarus
"116",Cambodia
"12",Algeria
"120",Cameroon
"124",Canada
"1248","China, Main"
"132",Cabo Verde
"136",Cayman Islands
"140",Central African Republic
"144",Sri Lanka
"148",Chad
"152",Chile
"158","China,Taiwan"
"16",American Samoa
"162",Christmas Is
"166",Cocos Is
"170",Colombia
"174",Comoros
"175",Mayotte
"178",Congo
"180",Democratic Republic of the Congo
"184",Cook Islands
"188",Costa Rica
"191",Croatia
"192",Cuba
"196",Cyprus
"20",Andorra
"203",Czechia
"204",Benin
"208",Denmark
"212",Dominica
"214",Dominican Republic
"218",Ecuador
"222",El Salvador
"226",Equatorial Guinea
"231",Ethiopia
"232",Eritrea
"233",Estonia
"234",Faroe Islands
"238",Falkland Islands (Malvinas)
"24",Angola
"242",Fiji
"246",Finland
"250",France
"258",French Polynesia
"260",Fr South Ter
"262",Djibouti
"266",Gabon
"268",Georgia
"270",Gambia
"275",Palestine(1996-)
"276",Germany
"28",Antigua and Barbuda
"288",Ghana
"292",Gibraltar
"296",Kiribati
"300",Greece
"304",Greenland
"308",Grenada
"31",Azerbaijan
"316",Guam
"32",Argentina
"320",Guatemala
"324",Guinea
"328",Guyana
"332",Haiti
"336",Holy See
"340",Honduras
"344","China,H.Kong"
"348",Hungary
"352",Iceland
"356",India
"36",Australia
"360",Indonesia
"364",Iran (Islamic Republic of)
"368",Iraq
"372",Ireland
"376",Israel
"380",Italy
"384",Côte d'Ivoire
"388",Jamaica
"392",Japan
"398",Kazakhstan
"4",Afghanistan
"40",Austria
"400",Jordan
"404",Kenya
"408",Democratic People's Republic of Korea
"410",Republic of Korea
"414",Kuwait
"417",Kyrgyzstan
"418",Lao People's Democratic Republic
"422",Lebanon
"426",Lesotho
"428",Latvia
"430",Liberia
"434",Libya
"44",Bahamas
"440",Lithuania
"442",Luxembourg
"446","China, Macao"
"450",Madagascar
"454",Malawi
"458",Malaysia
"462",Maldives
"466",Mali
"470",Malta
"478",Mauritania
"48",Bahrain
"480",Mauritius
"484",Mexico
"496",Mongolia
"498",Republic of Moldova
"499",Montenegro
"50",Bangladesh
"500",Montserrat
"504",Morocco
"508",Mozambique
"51",Armenia
"512",Oman
"516",Namibia
"52",Barbados
"520",Nauru
"524",Nepal
"528",Netherlands
"530",NethAntilles
"531",Curaçao
"533",Aruba
"534",Sint Maarten
"540",New Caledonia
"548",Vanuatu
"554",New Zealand
"558",Nicaragua
"56",Belgium
"562",Niger
"566",Nigeria
"570",Niue
"574",Norfolk Is
"578",Norway
"580",N Marianas
"583",Micronesia (Federated States of)
"584",Marshall Islands
"585",Palau
"586",Pakistan
"591",Panama
"598",Papua New Guinea
"60",Bermuda
"600",Paraguay
"604",Peru
"608",Philippines
"612",Pitcairn Is
"616",Poland
"620",Portugal
"624",Guinea-Bissau
"626",Timor-Leste
"634",Qatar
"64",Bhutan
"642",Romania
"643",Russian Federation
"646",Rwanda
"654","Saint Helena, Ascension and Tristan da Cunha"
"659",Saint Kitts and Nevis
"660",Anguilla
"662",Saint Lucia
"666",Saint Pierre and Miquelon
"670",Saint Vincent and the Grenadines
"674",San Marino
"678",Sao Tome and Principe
"68",Bolivia (Plurinational State of)
"682",Saudi Arabia
"686",Senegal
"688",Serbia
"690",Seychelles
"694",Sierra Leone
"70",Bosnia and Herzegovina
"702",Singapore
"703",Slovakia
"704",Viet Nam
"705",Slovenia
"706",Somalia
"710",South Africa
"716",Zimbabwe
"72",Botswana
"724",Spain
"728",South Sudan
"729",Sudan
"732",Westn Sahara
"736",Sudan (former)
"740",Suriname
"748",Swaziland
"752",Sweden
"756",Switzerland
"76",Brazil
"760",Syrian Arab Republic
"762",Tajikistan
"764",Thailand
"768",Togo
"772",Tokelau
"776",Tonga
"780",Trinidad and Tobago
"784",United Arab Emirates
"788",Tunisia
"792",Turkey
"795",Turkmenistan
"796",Turks and Caicos Islands
"798",Tuvalu
"8",Albania
"800",Uganda
"804",Ukraine
"807",The former Yugoslav Republic of Macedonia
"818",Egypt
"826",United Kingdom
"834",United Republic of Tanzania
"84",Belize
"840",United States of America
"854",Burkina Faso
"858",Uruguay
"86",Br Ind Oc Tr
"860",Uzbekistan
"862",Venezuela (Bolivarian Republic of)
"876",Wallis and Futuna Islands
"882",Samoa
"887",Yemen
"894",Zambia
"90",Solomon Islands
"92",British Virgin Islands
"96",Brunei Darussalam
